Team,1,2,3,4,5,6,Lead,Note
Hard Trick Room,Incineroar,Farigiraf,Torkoal,Mega Mawile,Sinistcha,Kingambit,Incineroar+Farigiraf,"FIXED LEAD Incineroar+Farigiraf. T1 Fake Out + Trick Room, then Parting Shot and sweep under TR (e.g. sun-boosted Torkoal Eruption). You must either KO Farigiraf T1 while surviving Incineroar, or survive TR with careful Protects/switches and stop the next one. T1 answers: Quick Guard, or Armor Tail / Queenly Majesty to block Fake Out, paired with an OHKO on Farigiraf after Intimidate (e.g. Life Orb Hydreigon). Defiant/Competitive users punish the Intimidate."
Perish Trap,Incineroar,Mega Gengar,Sinistcha,Kommo-o,Politoed,Kingambit,Incineroar+Mega Gengar,"FIXED LEAD Incineroar+Mega Gengar. T1 Fake Out + Perish Song. T2 double Protect. T3 Gengar switches out and Incineroar Parting Shots (or dies) to bring Gengar back, keeping Shadow Tag up throughout, so your two faint to Perish and they get a 4v2. Their own Kommo-o ignores Perish via Soundproof. You must win those three turns: KO Gengar T1 while surviving both attackers - Quick Guard / Upper Hand / Armor Tail / Queenly Majesty or your own Fake Out, paired with an OHKO on Gengar after Intimidate (e.g. Life Orb Hydreigon). Any Ghost type or switching move escapes Shadow Tag."
